パレットNo,セット位置,製品コード,吐出パターン番号,位置番号,傾き,A剤流圧(Mpa),B剤流圧(Mpa),A剤タンク1圧力(Mpa),A剤タンク2圧力(Mpa),B剤タンク1圧力(Mpa),B剤タンク2圧力(Mpa),A剤使用中タンク,B剤使用中タンク,A剤配合比速度(Hz),B剤配合比速度(Hz),生産総合流速(％),生産吐出時間(sec),X座標,Y座標,Z座標,余熱時間,硬化時間,投入開始日時,取出終了日時,余熱開始日時,余熱終了日時,注入開始日時,注入終了日時,硬化開始日時,硬化終了日時,生産日,製品コード(7桁),リレーケース名,注入時間,パレットR/T（分）
13,4番目,EJBJ008434E243$,7,13,無,0.17,0.19,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,70.3,9.7,830,320.0,290,1119,1206,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,EJBJ008,リレ－ケ－ス本体　　　　　　　　　　　ＥＪＢ,14.99999973,40.41666667
13,3番目,EWRJ004434E3AAA,6,35,無,0.15,0.17,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,62.0,5.0,571,366.8,290,1119,1206,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,EWRJ004,,9.999999823,40.41666667
13,2番目,FEEJ003434E49EE,1,2,無,0.17,0.19,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,70.3,9.9,445,351.0,290,1119,1206,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.00000036,40.41666667
13,1番目,FEEJ003434E49FF,1,2,無,0.17,0.19,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,70.3,9.9,215,351.0,290,1119,1206,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.99999973,40.41666667
12,4番目,EJBJ008434E244/,7,13,無,0.17,0.19,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,70.3,9.7,830,320.0,290,1112,1186,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,EJBJ008,リレ－ケ－ス本体　　　　　　　　　　　ＥＪＢ,14.99999973,39.84999999
12,3番目,EWRJ004434E3E8C,6,35,無,0.15,0.17,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,62.0,5.0,571,366.8,290,1112,1186,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,EWRJ004,,9.999999823,39.84999999
12,2番目,FEEJ003434E49CC,1,2,無,0.16,0.18,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,70.3,9.9,445,351.0,290,1112,1186,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.99999973,39.84999999
12,1番目,FEEJ003434E49DD,1,2,無,0.17,0.19,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,70.3,9.9,215,351.0,290,1112,1186,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.00000036,39.84999999
17,4番目,EJBJ008434E23D5,7,13,無,0.17,0.19,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,70.3,9.7,830,320.0,290,1101,1177,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,EJBJ008,リレ－ケ－ス本体　　　　　　　　　　　ＥＪＢ,14.99999973,39.65
43,4番目,EJWJ026434E33E7,6,12,無,0.15,0.17,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,62.0,5.0,776,360.0,290,1082,1186,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,EJWJ026,リレ－ケ－ス本体　　　　　　　　　　　ＥＪＷ,9.999999823,39.54999999
17,2番目,FEEJ003434E49BB,1,2,無,0.16,0.18,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,70.3,9.9,445,351.0,290,1101,1177,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.00000036,39.65
17,1番目,FEEJ003434E412.,1,2,無,0.17,0.19,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,70.3,9.9,215,351.0,290,1101,1177,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.99999973,39.65
26,4番目,EJBJ008434E242 ,7,13,無,0.17,0.19,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,70.3,9.7,830,320.0,290,1090,1180,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,EJBJ008,リレ－ケ－ス本体　　　　　　　　　　　ＥＪＢ,15.99999997,39.36666667
26,3番目,EWRJ004434E3E6A,6,35,無,0.15,0.17,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,62.0,5.0,571,366.8,290,1090,1180,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,EWRJ004,,9.999999823,39.36666667
26,1番目,FEEJ003434E49AA,1,2,無,0.17,0.19,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,70.3,9.9,215,351.0,290,1090,1180,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.00000036,39.36666667
43,3番目,EYDJ023434E3A44,16,11,無,0.15,0.18,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,70.3,8.9,631,356.8,290,1082,1186,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,EYDJ023,,14.00000013,39.54999999
46,4番目,EJWJ026434E33C5,6,12,無,0.15,0.17,-0.008,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,62.0,5.0,776,360.0,290,1083,1186,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,EJWJ026,リレ－ケ－ス本体　　　　　　　　　　　ＥＪＷ,11.00000006,39.63333333
